common_name,num_obs,dollar_benefits,co2_benefits
arborvitae: eastern,228,25.120249751057326,62.371382836686536
ash: green,144,121.98448471455764,152.52882614174268
ash: white,71,135.18226286384083,152.4512545155635
baldcypress: common,102,88.64776256392156,101.07672678820353
cherry: black,105,57.756354839833335,175.88947737907267
cherry: japanese flowering,102,33.55101403677392,98.9399620826798
cherry/plum: spp.,411,29.42575860909915,75.68783462375221
coffeetree: kentucky,48,79.62076746654999,105.39477155756458
crabapple: flowering,992,30.655751559718347,59.05872306572234
dogwood: corneliancherry,116,16.824133147894397,31.310236734675946
dogwood: flowering,91,24.319812968353517,56.95842220882445
dogwood: kousa,71,18.995125626498734,37.70315637656901
elm: american,683,125.15631005010658,221.12298192954518
elm: siberian,195,186.42395746712768,402.9682950528487
elm: spp.,259,76.70629373559652,67.32235058255189
ginkgo,816,90.22681027042655,217.3848029458133
hackberry: common,119,92.46770246154202,117.08792558204159
hawthorn: spp.,235,26.75626400485349,64.03268749456804
honeylocust,41,149.47433074254147,315.0750910484756
honeylocust: thornless,1953,141.94141671798843,242.17560186077418
hornbeam: american,122,62.21819259138852,50.05794338023359
hornbeam: european,183,60.76706116214645,43.249523679829295
horsechestnut,126,131.58216378994365,381.2430801428825
lilac: japanese tree,497,19.40194336411791,39.81289739375573
linden: american,58,127.87574151397415,264.7054642578893
linden: littleleaf,2127,108.17667240941547,253.81099746113782
linden: silver,76,47.00066706310395,51.823263416173944
locust: black,413,213.91291185761136,353.4782831488097
london planetree,2709,206.97503647298456,593.006224115765
maple: amur,117,33.47486053885898,73.60183537924402
maple: freeman,715,85.97946335838434,146.36231898051795
maple: hedge,558,31.208563780962635,70.20165473637039
maple: japanese,151,40.55815089153563,98.43990558520504
maple: miyabei,136,61.532508136589705,55.50692099835815
maple: norway,3246,121.99444313234149,338.7981981160077
maple: red,3193,98.5023246976001,168.75481087912678
maple: silver,395,154.94450360869064,386.4573761281855
maple: sugar,539,112.24748756841744,233.72071898729112
mulberry: white,332,104.05604347873434,175.84705654085587
oak: northern red,556,199.60974398023362,644.8995620039593
oak: pin,987,246.72579673900384,870.2846961151797
oak: swamp white,152,53.84761786190592,62.97499784366336
pear: callery,2864,125.23554686058834,249.21376951044923
pine: austrian,41,67.19483547414877,116.9610766708761
pine: eastern white,115,65.30015712779218,127.95161201710305
pine: scotch,11,72.93095359553637,119.13656523981818
redbud: eastern,201,21.547445896501593,46.274093559055224
serviceberry: downy,211,18.857939179320095,39.79297179689664
spruce: colorado,409,60.005472098995675,209.39259908224685
spruce: norway,213,71.12190706795963,143.7881509901747
sweetgum: american,757,147.4155596491284,316.2517572246854
sycamore: american,135,194.64867632124518,498.30448426506
tree-of-heaven,183,161.9795809506907,251.39663509727114
tuliptree,60,130.64237323733167,211.3815003816815
zelkova: japanese,537,115.1728732863782,180.55276406528642
